Mebol, 101 FW, 101 TC, 101 TW, 102 FC, 102 FW, 102 TC, 102 TW, 103 FC, 103 FW, 103 TC, 103 TW, 104 FC, 104 FW, 104 TC, 104 TW, 105 FC, 105 FW, 105 TC, 105 TW, 110 FC, 110 FW, 110 TC, 110 TW, 111 FC, 111 FW, 111 TC, 111 TW, 112 FC, 112 FW, 112 TC, 112 TW, 113 FC, 113 FW, 113 TC, 113 TW, 114 FC, 114 FW, 114 TC, 114 TW, 124 FC, 124 FW, 124 NB FC, 124 TC, 124 TW, 125 FC, 125 FW, 125 TC, 125 TW, 126 FC, 126 FW, 126 TC, 126 TW, 127 FC, 127 FW, 127 TC, 127 TW, 128 FC, 128 FW, 128 TC, 128 TW, 201 FC, 201 FW, 201 TC, 201 TW, 202 FC, 202 FW, 202 TC, 202 TW, 203 FC, 203 FW, 203 TC, 203 TW, 204 FC, 204 FW, 204 TC, 204 TW, 205 FC, 205 FW, 205 TC, 205 TW, 210 FC, 210 FW, 210 TC, 210 TW, 211 FC, 211 FW, 211 TC, 211 TW, 212 FC, 212 FW, 212 TC, 212 TW, 213 FC, 213 FW, 213 TC, 213 TW, 214 FC, 214 FW, 214 NB FW, 214 TC, 214 TW, 215 FC, 215 FW, 215 TC, 215 TW, 216 FC, 216 FW, 216 TC, 216 TW, 217 FC, 217 FW, 217 TC, 217 TW, 218 FC, 218 FW, 218 TC, 218 TW, 219 FC, 219 FW, 219 TC, 219 TW, 226 FC, 226 FW, 226 TC, 226 TW, 227 FC, 227 FW, 227 TC, 227 TW, 228 FC, 228 FW, 228 TC, 228 TW, 229 FC, 229 FW, 229 TC, 229 TW, 230 FC, 230 FW, 230 TC, 230 TW,101 FC
TG 49:0 [M+NH4]+_7222,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1129,NAN,NAN,NAN,1108,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1374,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1360,NAN,NAN,NAN,NAN,NAN,NAN,1037,NAN,NAN,NAN,NAN,NAN,1163,NAN,NAN,NAN,1185,NAN,1158,NAN,1297,NAN,1002,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
TG 49:0 [M+NH4]+_5836,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1219,NAN,1359,NAN,1134,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1115,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1266,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2106,NAN,NAN,NAN,NAN,NAN,NAN,1208,NAN,NAN,NAN,NAN,NAN,1386,NAN,NAN,NAN,1294,NAN,1108,NAN,1523,NAN,1012,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1040,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1078,NAN,NAN,NAN,NAN,NAN,1146,NAN,NAN
TG 49:1 [M+NH4]+_2329,NAN,1414,NAN,1543,NAN,NAN,NAN,3018,NAN,3021,1484,3506,NAN,1578,NAN,NAN,NAN,NAN,NAN,1424,NAN,1295,NAN,NAN,NAN,NAN,NAN,1249,NAN,1458,NAN,NAN,NAN,NAN,NAN,1699,1306,1748,1101,1502,NAN,1409,NAN,NAN,NAN,NAN,1704,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1058,NAN,NAN,NAN,NAN,NAN,2289,NAN,NAN,NAN,1888,NAN,1888,NAN,NAN,NAN,1123,NAN,NAN,NAN,1217,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1290,1646,NAN,1170,NAN,1039,NAN,NAN,NAN,6582,NAN,1071,NAN,1605,1371,NAN,2911,NAN,1096,NAN,NAN,NAN,5399,NAN,1191,NAN,1968,NAN,1690,NAN,2710,NAN,1739,NAN,1668,NAN,1256,NAN,1429,NAN,1632,NAN,NAN,NAN,NAN,NAN,1148,NAN,NAN,NAN,2480,NAN,NAN,NAN,1037,NAN,2343,NAN,1262
TG 49:1 [M+NH4]+_1517,1167,2179,1226,2393,1344,1249,NAN,4012,1022,3456,2411,4523,NAN,1592,1032,1068,NAN,1371,1003,2118,NAN,2230,1380,1112,1032,NAN,NAN,1085,1173,1656,1037,1411,NAN,1059,NAN,1767,1775,1626,1401,1525,NAN,1872,NAN,NAN,6713,1708,2220,1460,1088,NAN,1015,1104,1851,2073,2062,1254,NAN,NAN,1060,NAN,1828,NAN,NAN,NAN,2268,NAN,1476,NAN,1509,NAN,NAN,NAN,NAN,NAN,NAN,1069,NAN,NAN,NAN,NAN,1216,1049,1052,2013,2064,1027,1250,NAN,NAN,NAN,NAN,NAN,5596,NAN,NAN,NAN,1592,1593,NAN,3354,1292,1398,1010,NAN,NAN,5118,NAN,1545,NAN,2863,1379,2504,1285,5745,1624,2992,1602,1963,1336,1295,NAN,1833,NAN,1956,NAN,NAN,1176,NAN,NAN,1354,NAN,NAN,NAN,3327,NAN,NAN,NAN,1285,NAN,2457,NAN,1923
TG 49:2 [M+NH4]+_4770,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1407,NAN,1472,NAN,1592,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1017,NAN,1005,NAN,NAN,NAN,NAN,NAN,NAN,1186,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1353,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1070,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1113,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3606,NAN,NAN,NAN,NAN,NAN,NAN,1911,NAN,NAN,NAN,NAN,NAN,2930,NAN,NAN,NAN,1012,NAN,1130,NAN,1823,NAN,1068,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1135,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1346,NAN,NAN,NAN,NAN,NAN,1497,NAN,NAN
TG 50:0 [M+NH4]+_2048,NAN,1599,NAN,1855,NAN,1086,NAN,3663,NAN,2988,2083,3000,NAN,1090,NAN,NAN,NAN,NAN,NAN,2203,NAN,1261,1021,NAN,NAN,NAN,NAN,1472,NAN,1357,NAN,NAN,NAN,NAN,NAN,1684,1185,1564,1111,1471,NAN,1013,NAN,NAN,3468,1215,1953,NAN,1005,NAN,NAN,NAN,1300,NAN,1128,NAN,NAN,NAN,1016,NAN,1612,NAN,NAN,NAN,1668,NAN,1352,NAN,1027,NAN,NAN,NAN,NAN,NAN,1190,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1064,1847,NAN,1162,NAN,1191,NAN,NAN,NAN,4409,NAN,NAN,NAN,1533,1197,NAN,2950,1525,1165,NAN,NAN,NAN,3013,NAN,1373,NAN,2533,1221,2442,NAN,3474,NAN,2330,NAN,1512,1073,1487,NAN,1358,NAN,1626,NAN,NAN,NAN,NAN,NAN,1164,NAN,1207,NAN,2396,NAN,NAN,NAN,1031,NAN,2293,NAN,1351
TG 50:0 [M+NH4]+_996,1660,5197,2339,5408,1021,3740,1219,4604,1356,5212,3737,7444,NAN,1590,1371,2682,1264,1790,1506,3332,NAN,2177,NAN,1483,NAN,1500,NAN,2270,NAN,1882,1271,2306,NAN,1637,1193,2260,NAN,1911,1376,4984,1060,1987,1865,NAN,5504,1287,2270,1468,2446,NAN,2039,1776,1966,1547,1963,1418,NAN,NAN,1713,NAN,3583,1206,1526,1330,2779,NAN,2211,1303,6303,1046,2292,NAN,2123,NAN,2848,1484,1279,NAN,1467,NAN,3271,1524,3941,1232,1998,NAN,1738,NAN,1681,NAN,1611,NAN,8323,NAN,1187,NAN,2192,1995,NAN,5452,2855,2550,1590,2521,1555,6029,1005,2317,1299,5783,1575,5367,1459,7805,1914,5447,1622,2098,1245,2499,NAN,4480,NAN,5843,1041,1686,1094,1763,1094,1756,NAN,1880,NAN,4857,1156,2228,1707,1539,NAN,2591,NAN,5280
TG 50:1 [M+NH4]+_157,16437,52868,27187,53138,23210,27317,12821,65763,17102,63046,41997,82918,9985,28268,13957,29050,15371,25321,20343,22391,4489,19170,9412,10036,7124,9500,6156,22894,10165,23266,15869,18655,8242,14694,8671,22998,9486,23870,12866,22778,6688,37129,10740,6867,72096,18888,28197,17467,18155,7701,13707,15249,20104,27672,29720,24680,8061,4100,14225,4166,42985,3746,11990,10510,44692,5547,27656,8042,22067,6503,13351,5690,12219,7173,17039,12754,11353,7644,9733,8320,26361,14481,30254,7064,18369,5726,11696,7209,11202,5581,11074,6761,83359,2089,7210,2649,24171,24647,1528,53631,24324,21045,12660,16868,12952,89416,14021,27884,14112,52300,18339,38709,15020,91353,25428,58384,26384,30021,12484,20349,5842,27807,7784,27108,8801,14367,10055,7040,10232,17079,5408,13590,4834,57856,5720,12563,9422,21230,6349,35828,6642,52410
TG 50:1 [M+NH4]+_1030,1209,2545,1416,3357,1518,1487,NAN,6314,1384,5523,3391,6203,1061,2635,1370,1030,1003,1313,1265,2479,NAN,2464,1723,1254,1085,1176,1207,2267,1648,2649,1682,1642,NAN,1316,1151,3069,2859,3381,2049,2899,NAN,2663,1519,1147,5635,1989,3020,1552,1362,NAN,1029,1221,1908,2089,2248,1283,1045,1055,1539,NAN,3919,NAN,1123,NAN,3490,NAN,2931,1195,1517,1142,1922,NAN,1388,1073,1597,1450,1088,NAN,NAN,1013,1062,NAN,1121,2295,2604,1536,1838,1011,1801,NAN,1348,NAN,11270,1066,1469,NAN,2732,2578,NAN,5393,2344,1451,1299,1142,1128,9103,1093,1794,NAN,3192,1452,2574,1174,5556,1459,2920,1584,2398,1664,2055,1286,2281,NAN,2587,NAN,1222,1529,1008,1031,2048,1113,1544,NAN,4524,NAN,1469,1148,1893,NAN,3902,NAN,2267
TG 50:1 [M+Na]+_2464,NAN,1966,1352,1291,NAN,1073,NAN,1605,NAN,1590,1414,1662,NAN,1232,NAN,1185,NAN,1419,NAN,1459,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1121,NAN,1230,NAN,1174,NAN,NAN,NAN,1194,NAN,1126,NAN,1023,NAN,1269,NAN,NAN,1393,NAN,1265,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1140,1089,NAN,NAN,NAN,NAN,1471,NAN,NAN,NAN,1320,NAN,1496,NAN,1149,NAN,1000,NAN,1025,NAN,1402,NAN,NAN,NAN,NAN,NAN,1458,NAN,1518,NAN,1281,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1852,NAN,NAN,NAN,1180,1012,NAN,1842,1127,1044,NAN,1004,NAN,1813,NAN,1434,NAN,1679,NAN,1603,NAN,2044,1083,1790,1034,1475,NAN,1331,NAN,1384,NAN,1208,NAN,NAN,NAN,NAN,NAN,1110,NAN,NAN,NAN,1607,NAN,1037,NAN,1270,NAN,1474,NAN,1726
TG 50:2 [M+NH4]+_1967,NAN,1827,NAN,1423,NAN,NAN,NAN,2931,NAN,2720,1551,3253,NAN,1551,NAN,NAN,NAN,1024,NAN,1602,NAN,1498,1030,1241,NAN,1221,NAN,1418,NAN,1865,1084,1376,NAN,NAN,NAN,2179,1623,1893,1153,1715,NAN,1419,1154,NAN,2660,NAN,1430,NAN,NAN,NAN,NAN,NAN,1251,1131,1674,NAN,NAN,NAN,NAN,NAN,2656,NAN,NAN,NAN,1792,NAN,1718,NAN,1039,NAN,1903,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1402,1926,NAN,1206,NAN,1110,NAN,1073,NAN,6356,NAN,1044,NAN,1263,NAN,NAN,2797,1100,1196,NAN,NAN,NAN,5025,NAN,1233,NAN,1789,NAN,1830,NAN,3132,NAN,1836,1023,1378,NAN,1360,NAN,1611,NAN,1953,NAN,NAN,1009,NAN,NAN,1382,NAN,1062,NAN,3433,NAN,NAN,NAN,1085,NAN,2486,NAN,1591
TG 50:2 [M+Na]+_3798,NAN,1415,NAN,1593,NAN,1005,NAN,1637,NAN,1733,1036,2145,NAN,1065,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1259,NAN,NAN,2077,NAN,1296,NAN,NAN,NAN,NAN,NAN,1061,NAN,1291,1174,NAN,NAN,NAN,NAN,1841,NAN,NAN,NAN,1597,NAN,1344,NAN,NAN,NAN,1045,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1168,NAN,1005,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2622,NAN,NAN,NAN,NAN,NAN,NAN,1448,NAN,NAN,NAN,NAN,NAN,2343,NAN,1041,NAN,1434,NAN,1222,NAN,2109,NAN,1611,NAN,1140,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1554,NAN,NAN,NAN,NAN,NAN,1678,NAN,1314
